species_id	marker_read_counts	median_marker_coverage	marker_coverage	marker_relative_abundance	unique_fraction_covered
101380	5467	69.226394	73.401286	0.419103	1.000000
101273	359	3.098039	5.388054	0.030764	0.866667
119889	679	2.959150	9.631360	0.054993	0.866667
134387	259	2.102837	3.801344	0.021705	1.000000
100291	349	1.795806	5.143673	0.029369	0.933333
101701	565	1.258333	8.290237	0.047335	0.733333
101186	243	1.139130	3.342820	0.019087	0.733333
100131	230	0.987737	3.398915	0.019407	0.666667
104604	338	0.868441	4.847722	0.027679	0.866667
109416	81	0.779365	1.344311	0.007676	0.500000
112332	335	0.772727	4.346318	0.024816	0.600000
108278	361	0.699074	5.022511	0.028677	0.733333
126778	40	0.495895	0.569987	0.003254	0.533333
142728	476	0.490364	6.685050	0.038170	0.571429
100304	92	0.475738	1.203156	0.006870	0.600000
112211	90	0.000000	1.321074	0.007543	0.333333
130755	4	0.000000	0.081776	0.000467	0.000000
107220	56	0.000000	0.734033	0.004191	0.133333
141329	5	0.000000	0.061719	0.000352	0.133333
104419	20	0.000000	0.289523	0.001653	0.133333
131092	43	0.000000	0.762576	0.004354	0.153846
103992	138	0.000000	2.363481	0.013495	0.400000
147157	139	0.000000	2.028069	0.011580	0.285714
100301	38	0.000000	0.503416	0.002874	0.200000
136088	9	0.000000	0.139835	0.000798	0.153846
112461	47	0.000000	0.666857	0.003808	0.400000
121827	154	0.000000	2.223307	0.012695	0.333333
129214	101	0.000000	1.319210	0.007532	0.200000
101485	118	0.000000	2.010914	0.011482	0.214286
141133	417	0.000000	5.352416	0.030561	0.400000
137981	118	0.000000	2.324275	0.013271	0.181818
132071	24	0.000000	0.360920	0.002061	0.133333
133523	8	0.000000	0.113711	0.000649	0.133333
119286	190	0.000000	2.587890	0.014776	0.133333
103501	4	0.000000	0.059867	0.000342	0.133333
134971	118	0.000000	1.707602	0.009750	0.200000
105623	14	0.000000	0.201011	0.001148	0.266667
137669	76	0.000000	0.988095	0.005642	0.200000
138779	5	0.000000	0.073544	0.000420	0.133333
101047	23	0.000000	0.342617	0.001956	0.333333
109339	120	0.000000	1.825421	0.010423	0.200000
108051	116	0.000000	1.304721	0.007450	0.133333
120896	342	0.000000	4.712416	0.026907	0.400000
113213	77	0.000000	1.154949	0.006594	0.466667
111379	68	0.000000	1.106961	0.006320	0.230769
