species_id	marker_read_counts	median_marker_coverage	marker_coverage	marker_relative_abundance	unique_fraction_covered
134387	3997	61.034050	58.851986	0.135326	1.000000
126778	3257	45.650909	46.709864	0.107406	1.000000
101186	2769	39.821256	40.160875	0.092347	1.000000
109416	2144	33.988476	34.706254	0.079805	1.000000
101273	2392	32.321596	34.881840	0.080208	1.000000
104604	2492	31.726950	35.709492	0.082111	1.000000
100131	2160	31.291913	31.121696	0.071562	0.866667
100291	2156	22.070812	30.794092	0.070809	1.000000
101380	1585	21.932292	21.266391	0.048901	1.000000
105623	1207	14.580645	17.257806	0.039683	1.000000
108278	891	12.618794	12.692913	0.029186	1.000000
113213	676	9.039381	9.954444	0.022890	0.933333
101047	588	7.027244	8.505580	0.019558	1.000000
103531	295	2.993392	4.175206	0.009601	0.800000
101701	192	2.698020	2.790138	0.006416	0.866667
101378	167	2.195696	2.784228	0.006402	0.642857
116156	83	2.024800	2.121517	0.004878	0.800000
103501	245	1.930556	3.548221	0.008159	0.866667
108051	187	1.922043	2.591596	0.005959	0.800000
131071	113	1.782906	2.497180	0.005742	0.545455
109339	126	1.510000	1.795283	0.004128	0.600000
111379	142	1.440860	2.233301	0.005135	0.923077
102407	156	0.850168	2.266467	0.005212	0.600000
115369	79	0.807487	1.075912	0.002474	0.600000
101347	52	0.805333	0.729814	0.001678	0.666667
102755	30	0.729469	0.538480	0.001238	0.727273
100301	381	0.612403	5.392139	0.012399	0.533333
116922	129	0.325000	2.110548	0.004853	0.357143
130755	77	0.287500	1.448010	0.003330	0.545455
100129	5	0.000000	0.068798	0.000158	0.142857
112461	15	0.000000	0.208011	0.000478	0.133333
146082	7	0.000000	0.102007	0.000235	0.133333
120881	18	0.000000	0.262993	0.000605	0.266667
112969	8	0.000000	0.151620	0.000349	0.153846
119889	4	0.000000	0.058425	0.000134	0.000000
128622	7	0.000000	0.107747	0.000248	0.153846
100304	6	0.000000	0.089250	0.000205	0.133333
138779	49	0.000000	0.705825	0.001623	0.400000
114962	101	0.000000	1.670658	0.003842	0.428571
142728	12	0.000000	0.173038	0.000398	0.142857
137669	43	0.000000	0.555814	0.001278	0.333333
104419	46	0.000000	0.683814	0.001572	0.200000
103955	38	0.000000	0.575803	0.001324	0.200000
101485	11	0.000000	0.188722	0.000434	0.142857
101148	42	0.000000	0.578998	0.001331	0.400000
110918	34	0.000000	0.461045	0.001060	0.133333
147595	47	0.000000	0.597370	0.001374	0.200000
128586	46	0.000000	0.648711	0.001492	0.266667
100056	25	0.000000	0.349921	0.000805	0.133333
141133	12	0.000000	0.157642	0.000362	0.266667
132071	8	0.000000	0.114929	0.000264	0.000000
116464	4	0.000000	0.057035	0.000131	0.000000
112211	33	0.000000	0.466336	0.001072	0.333333
100520	18	0.000000	0.266273	0.000612	0.133333
100507	347	0.000000	4.878752	0.011218	0.466667
