species_id	marker_read_counts	median_marker_coverage	marker_coverage	marker_relative_abundance	unique_fraction_covered
101380	2028	22.639423	27.429293	0.112185	1.000000
101273	1388	17.169782	20.731209	0.084790	0.933333
134387	1096	15.212219	16.358002	0.066904	1.000000
101701	944	9.121413	13.978402	0.057171	0.733333
100291	905	8.190949	13.305465	0.054419	0.933333
119889	1420	7.205543	19.908009	0.081423	0.733333
108278	755	5.852713	11.138307	0.045555	0.933333
113213	470	5.147895	7.016869	0.028699	0.733333
142728	364	1.214340	5.306390	0.021703	0.642857
101186	286	1.097222	4.284602	0.017524	0.733333
134971	385	1.046512	5.353178	0.021894	0.733333
112332	448	0.806624	6.061511	0.024791	0.666667
104604	142	0.775986	2.058531	0.008419	0.733333
103992	174	0.581888	2.978303	0.012181	0.533333
109416	363	0.523988	5.815702	0.023786	0.666667
100131	456	0.422996	6.785108	0.027751	0.333333
101047	130	0.419444	1.655012	0.006769	0.466667
112461	244	0.197682	3.385503	0.013847	0.466667
121827	131	0.000000	1.661783	0.006797	0.333333
141329	18	0.000000	0.237608	0.000972	0.133333
147157	390	0.000000	5.839914	0.023885	0.357143
125707	164	0.000000	2.025152	0.008283	0.400000
111379	60	0.000000	0.980513	0.004010	0.153846
105623	32	0.000000	0.465755	0.001905	0.266667
108051	280	0.000000	3.977904	0.016269	0.466667
100301	167	0.000000	2.488763	0.010179	0.266667
109339	91	0.000000	1.303498	0.005331	0.200000
133606	14	0.000000	0.266948	0.001092	0.166667
104419	125	0.000000	1.865398	0.007629	0.200000
100507	67	0.000000	0.994981	0.004069	0.200000
131092	34	0.000000	0.602139	0.002463	0.230769
103501	30	0.000000	0.448806	0.001836	0.133333
112211	45	0.000000	0.655672	0.002682	0.400000
108721	226	0.000000	3.270636	0.013377	0.266667
130755	17	0.000000	0.340509	0.001393	0.272727
132071	150	0.000000	2.242605	0.009172	0.133333
126778	24	0.000000	0.331864	0.001357	0.333333
108556	45	0.000000	0.631244	0.002582	0.133333
146082	77	0.000000	1.121695	0.004588	0.133333
115369	69	0.000000	0.973719	0.003982	0.266667
139947	57	0.000000	1.090782	0.004461	0.181818
136088	317	0.000000	4.886612	0.019986	0.153846
107220	133	0.000000	1.949062	0.007972	0.333333
138779	87	0.000000	1.278492	0.005229	0.200000
141133	24	0.000000	0.323745	0.001324	0.400000
137669	140	0.000000	1.640355	0.006709	0.266667
134974	191	0.000000	3.012547	0.012321	0.285714
100304	31	0.000000	0.448817	0.001836	0.400000
103531	108	0.000000	1.600609	0.006546	0.200000
110918	71	0.000000	0.874162	0.003575	0.000000
101485	180	0.000000	3.065825	0.012539	0.357143
120881	7	0.000000	0.102970	0.000421	0.133333
103955	115	0.000000	1.742771	0.007128	0.133333
131071	37	0.000000	0.693232	0.002835	0.181818
114962	24	0.000000	0.412932	0.001689	0.142857
102407	26	0.000000	0.386128	0.001579	0.200000
119286	289	0.000000	4.364621	0.017851	0.200000
120896	345	0.000000	5.103109	0.020872	0.400000
137981	268	0.000000	5.247867	0.021464	0.454545
