species_id	marker_read_counts	median_marker_coverage	marker_coverage	marker_relative_abundance	unique_fraction_covered
134387	3544	48.936900	51.527978	0.247075	1.000000
101273	1502	17.990476	22.133193	0.106128	1.000000
101186	1157	14.379710	16.872878	0.080905	0.933333
109416	883	12.673597	14.416722	0.069128	0.916667
126778	906	11.495770	12.647958	0.060647	1.000000
104604	1233	11.191756	17.678665	0.084769	0.866667
101047	769	7.716553	11.339259	0.054371	0.866667
108278	649	5.271277	9.491792	0.045513	0.800000
101701	551	4.538251	7.475049	0.035843	0.733333
100291	245	3.245520	3.565239	0.017095	0.866667
113213	451	3.228164	6.746667	0.032350	0.733333
131071	86	1.290598	1.869249	0.008963	0.272727
101380	313	0.846801	4.322498	0.020726	0.600000
100131	194	0.637131	2.733333	0.013106	0.466667
115369	234	0.602794	3.339573	0.016013	0.533333
137669	189	0.000000	2.448068	0.011738	0.333333
103531	227	0.000000	3.329113	0.015963	0.466667
105623	82	0.000000	1.093171	0.005242	0.333333
109339	118	0.000000	1.785606	0.008562	0.266667
116922	93	0.000000	1.544974	0.007408	0.142857
103501	130	0.000000	1.922589	0.009219	0.400000
101378	85	0.000000	1.431879	0.006866	0.285714
100301	131	0.000000	1.873775	0.008985	0.200000
102407	25	0.000000	0.365469	0.001752	0.266667
115971	6	0.000000	0.101739	0.000488	0.142857
116464	68	0.000000	0.968366	0.004643	0.133333
111379	113	0.000000	1.575403	0.007554	0.384615
112969	13	0.000000	0.236522	0.001134	0.153846
100507	84	0.000000	1.040744	0.004990	0.200000
130755	66	0.000000	1.348633	0.006467	0.181818
108051	93	0.000000	1.325590	0.006356	0.333333
