species_id	marker_read_counts	median_marker_coverage	marker_coverage	marker_relative_abundance	unique_fraction_covered
134387	1398	20.424870	20.075311	0.198949	1.000000
101186	1522	13.585007	22.161274	0.219622	0.933333
108278	455	5.877315	6.599233	0.065399	0.733333
109416	436	3.851654	7.042471	0.069792	0.750000
104604	423	3.592593	5.967418	0.059138	0.800000
101273	522	3.147950	7.461415	0.073944	0.866667
101047	224	1.369327	3.315457	0.032857	0.600000
126778	394	1.359606	5.516603	0.054670	0.866667
100291	513	1.235632	7.147907	0.070837	0.800000
101380	184	0.786458	2.539761	0.025169	0.666667
100131	33	0.391699	0.463314	0.004592	0.400000
105623	38	0.000000	0.463079	0.004589	0.133333
101701	33	0.000000	0.464300	0.004601	0.466667
111379	23	0.000000	0.356826	0.003536	0.230769
137669	85	0.000000	1.106625	0.010967	0.400000
102407	96	0.000000	1.437325	0.014244	0.333333
115369	5	0.000000	0.071375	0.000707	0.133333
116156	10	0.000000	0.238977	0.002368	0.200000
100301	63	0.000000	0.756955	0.007502	0.000000
130755	33	0.000000	0.673436	0.006674	0.272727
100056	111	0.000000	1.432175	0.014193	0.133333
113213	246	0.000000	3.513131	0.034816	0.400000
109339	17	0.000000	0.258744	0.002564	0.133333
103501	10	0.000000	0.149073	0.001477	0.200000
103531	78	0.000000	1.137417	0.011272	0.400000
101378	33	0.000000	0.557047	0.005520	0.214286
