species_id	marker_read_counts	median_marker_coverage	marker_coverage	marker_relative_abundance	unique_fraction_covered
101380	2630	36.087600	35.355096	0.139986	1.000000
101273	1608	23.704050	23.769593	0.094114	1.000000
108278	1718	19.890855	24.767227	0.098064	1.000000
119889	1038	14.465743	14.727220	0.058312	1.000000
100291	704	9.494253	10.130182	0.040110	0.933333
101701	600	8.393617	8.627515	0.034160	0.866667
103992	504	8.039448	8.610940	0.034094	0.933333
101186	478	7.640301	7.013182	0.027768	0.933333
141133	577	7.100546	7.927148	0.031387	1.000000
112332	559	7.018425	7.721164	0.030571	0.933333
108051	423	5.767094	5.837866	0.023115	1.000000
134387	504	5.501377	7.498396	0.029689	1.000000
142728	448	5.146962	6.323607	0.025038	0.928571
137981	210	4.631347	4.091637	0.016201	0.909091
104604	327	4.271242	4.766267	0.018872	0.933333
147157	325	3.781387	4.922579	0.019491	1.000000
109416	215	3.773785	3.468286	0.013732	0.916667
112461	267	3.715884	3.732761	0.014780	0.866667
112211	273	3.650450	3.936369	0.015586	0.866667
113213	295	3.610408	4.329091	0.017141	0.866667
134974	232	3.481319	3.573923	0.014151	0.928571
107220	246	2.830782	3.470983	0.013743	0.800000
101485	258	2.727115	4.353797	0.017239	0.857143
134971	206	2.192810	2.883424	0.011417	0.733333
132071	120	2.074434	1.753809	0.006944	0.533333
120896	145	1.779221	2.082645	0.008246	0.733333
101047	175	1.666667	2.591802	0.010262	0.933333
137669	134	1.375670	1.698068	0.006723	0.733333
102407	103	1.292035	1.514870	0.005998	0.800000
130755	75	1.257292	1.485107	0.005880	0.909091
103501	90	1.088288	1.325701	0.005249	0.600000
133523	129	0.980519	1.908791	0.007558	0.533333
126778	75	0.862069	1.065432	0.004219	0.866667
129214	75	0.820261	1.101333	0.004361	0.733333
121827	108	0.796414	1.444796	0.005721	0.533333
146082	82	0.786458	1.153059	0.004565	0.533333
100131	156	0.593882	2.233432	0.008843	0.666667
103531	78	0.578544	1.152042	0.004561	0.533333
105623	29	0.334441	0.404797	0.001603	0.466667
108721	97	0.318424	1.353561	0.005359	0.533333
128586	44	0.263964	0.600637	0.002378	0.466667
116156	29	0.254237	0.749559	0.002968	0.500000
100120	16	0.000000	0.238830	0.000946	0.133333
100162	11	0.000000	0.131194	0.000519	0.133333
131071	12	0.000000	0.235827	0.000934	0.181818
116922	7	0.000000	0.118991	0.000471	0.142857
119286	40	0.000000	0.607432	0.002405	0.266667
100507	29	0.000000	0.397107	0.001572	0.133333
100301	119	0.000000	1.728938	0.006846	0.266667
101148	31	0.000000	0.453453	0.001795	0.266667
110884	8	0.000000	0.116614	0.000462	0.133333
129701	6	0.000000	0.090015	0.000356	0.133333
101347	25	0.000000	0.336815	0.001334	0.200000
100224	21	0.000000	0.280879	0.001112	0.266667
147595	18	0.000000	0.260870	0.001033	0.266667
109339	49	0.000000	0.744481	0.002948	0.466667
103955	24	0.000000	0.332430	0.001316	0.266667
128622	6	0.000000	0.092355	0.000366	0.153846
106616	16	0.000000	0.236591	0.000937	0.266667
139947	19	0.000000	0.363636	0.001440	0.181818
116583	6	0.000000	0.080201	0.000318	0.133333
125707	45	0.000000	0.624030	0.002471	0.400000
136088	14	0.000000	0.226336	0.000896	0.153846
101745	28	0.000000	0.416827	0.001650	0.133333
112342	21	0.000000	0.306986	0.001215	0.133333
111379	22	0.000000	0.357800	0.001417	0.307692
131092	41	0.000000	0.718735	0.002846	0.461538
115369	35	0.000000	0.498015	0.001972	0.266667
141329	30	0.000000	0.395664	0.001567	0.200000
123672	26	0.000000	0.385288	0.001526	0.133333
100556	5	0.000000	0.071966	0.000285	0.133333
100056	25	0.000000	0.370534	0.001467	0.200000
101713	70	0.000000	1.103196	0.004368	0.384615
138779	9	0.000000	0.132184	0.000523	0.200000
112600	4	0.000000	0.061355	0.000243	0.142857
114962	14	0.000000	0.233778	0.000926	0.285714
100304	31	0.000000	0.454734	0.001800	0.333333
108600	4	0.000000	0.057596	0.000228	0.133333
100520	10	0.000000	0.139143	0.000551	0.133333
104419	84	0.000000	1.191694	0.004718	0.466667
133606	28	0.000000	0.510872	0.002023	0.250000
