species_id	marker_read_counts	median_marker_coverage	marker_coverage	marker_relative_abundance	unique_fraction_covered
142728	1158	16.939854	16.254839	0.076252	1.000000
112211	1160	15.757009	16.664234	0.078172	0.933333
100291	1346	14.790323	19.489611	0.091426	1.000000
112461	1242	13.286550	17.206772	0.080717	1.000000
101380	871	12.001488	11.735078	0.055049	1.000000
109416	683	10.881187	11.308827	0.053050	1.000000
134387	865	10.448148	12.785600	0.059977	0.933333
141133	708	8.545455	9.690073	0.045456	1.000000
132071	489	6.616959	7.276466	0.034134	0.733333
101273	540	5.523469	7.972139	0.037397	1.000000
101186	342	5.118644	4.988216	0.023400	0.866667
130755	239	4.282332	4.809234	0.022560	0.818182
128586	310	4.015195	4.327734	0.020301	0.933333
100131	475	3.998316	6.865680	0.032207	0.733333
146082	272	2.814070	3.828412	0.017959	0.666667
104604	369	2.687702	5.369037	0.025186	0.800000
133523	245	2.329989	3.645665	0.017102	0.600000
120896	247	2.251096	3.526368	0.016542	0.800000
147157	222	1.718406	3.353280	0.015730	0.714286
108051	128	1.659341	1.775071	0.008327	0.866667
112332	158	1.367754	2.253910	0.010573	0.600000
108278	148	1.305556	2.169861	0.010179	0.733333
137669	97	1.051983	1.220842	0.005727	0.800000
134974	131	0.720013	1.918340	0.008999	0.571429
100301	146	0.689076	2.160182	0.010133	0.466667
119889	145	0.622363	2.040433	0.009572	0.533333
126778	46	0.538324	0.668234	0.003135	0.600000
137981	76	0.234538	1.429959	0.006708	0.545455
102065	30	0.227753	0.416830	0.001955	0.357143
103501	33	0.000000	0.476757	0.002236	0.333333
103531	61	0.000000	0.796035	0.003734	0.266667
100304	18	0.000000	0.259270	0.001216	0.266667
134971	174	0.000000	2.516346	0.011804	0.400000
107220	122	0.000000	1.789054	0.008392	0.333333
139947	48	0.000000	0.918727	0.004310	0.454545
110918	34	0.000000	0.491321	0.002305	0.133333
103525	8	0.000000	0.110454	0.000518	0.200000
100507	255	0.000000	3.633107	0.017043	0.333333
101047	30	0.000000	0.433185	0.002032	0.466667
121827	13	0.000000	0.166523	0.000781	0.200000
131071	21	0.000000	0.451469	0.002118	0.272727
119286	34	0.000000	0.519846	0.002439	0.133333
100056	76	0.000000	1.120043	0.005254	0.200000
133606	15	0.000000	0.287669	0.001349	0.250000
106616	33	0.000000	0.463143	0.002173	0.133333
113213	88	0.000000	1.287273	0.006039	0.466667
116583	24	0.000000	0.295090	0.001384	0.200000
103992	72	0.000000	1.162384	0.005453	0.400000
111379	26	0.000000	0.406517	0.001907	0.153846
101713	75	0.000000	1.249944	0.005864	0.307692
129214	14	0.000000	0.208691	0.000979	0.200000
108721	118	0.000000	1.690921	0.007932	0.333333
138779	28	0.000000	0.411748	0.001932	0.266667
131092	53	0.000000	0.940409	0.004411	0.153846
102629	10	0.000000	0.145125	0.000681	0.266667
102407	36	0.000000	0.536826	0.002518	0.200000
108556	10	0.000000	0.150249	0.000705	0.200000
105623	16	0.000000	0.224205	0.001052	0.200000
114962	29	0.000000	0.499145	0.002341	0.142857
104419	30	0.000000	0.449004	0.002106	0.200000
109339	98	0.000000	1.444512	0.006776	0.333333
115369	10	0.000000	0.139062	0.000652	0.200000
101701	24	0.000000	0.348422	0.001634	0.466667
